Kod,Kategoria
ET2001,Not Hispanic origin : White
ET2002,Not Hispanic origin: Blacks
ET2003,"Not Hispanic origin: American Indian, Eskimo, or Aleut"
ET2004,Not Hispanic origin: Asian alone or Pacific Islander
ET2005,Not Hispanic origin: Other race
ET2006,Hispanic origin : White
ET2007,Hispanic origin : Blacks
ET2008,"Hispanic origin : American Indian, Eskimo, or Aleut"
ET2009,Hispanic origin : Asian alone or Pacific Islander
ET2010,Hispanic origin : Other race
FYF001,Not Hispanic or Latino : White alone
FYF002,Not Hispanic or Latino : Black or African American alone
FYF003,Not Hispanic or Latino : American Indian and Alaska Native alone
FYF004,Not Hispanic or Latino : Asian alone
FYF005,Not Hispanic or Latino : Native Hawaiian and Other Pacific Islander alone
FYF006,Not Hispanic or Latino : Some other race alone
FYF007,Not Hispanic or Latino : Two or more races
FYF008,Hispanic or Latino : White alone
FYF009,Hispanic or Latino : Black or African American alone
FYF010,Hispanic or Latino : American Indian and Alaska Native alone
FYF011,Hispanic or Latino : Asian alone
FYF012,Hispanic or Latino : Native Hawaiian and Other Pacific Islander alone
FYF013,Hispanic or Latino : Some other race alone
FYF014,Hispanic or Latino : Two or more races
H7Z001,Total population
H7Z002,Not Hispanic or Latino
H7Z003,Not Hispanic or Latino : White alone
H7Z004,Not Hispanic or Latino : Black or African American alone
H7Z005,Not Hispanic or Latino : American Indian and Alaska Native alone
H7Z006,Not Hispanic or Latino : Asian alone
H7Z007,Not Hispanic or Latino : Native Hawaiian and Other Pacific Islander alone
H7Z008,Not Hispanic or Latino : Some other race alone
H7Z009,Not Hispanic or Latino : Two or more races
H7Z010,Hispanic or Latino
U7C001,Total population
U7C002,Hispanic or Latino
U7C005,Not Hispanic or Latino: White alone
U7C006,Not Hispanic or Latino: Black or African American alone
U7C007,Not Hispanic or Latino: American Indian and Alaska Native alone
U7C008,Not Hispanic or Latino: Asian alone
U7C009,Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone
U7C010,Not Hispanic or Latino: Some other race alone
U7C011,Not Hispanic or Latino: Two or more races
